Time [s],Channel 3
56.636078562,2.551
56.636878562,2.556
56.637678562,2.551
56.638478562,2.551
56.639278562,2.551
56.640078562,2.551
56.640878562,2.556
56.641678562,2.556
56.642478562,2.556
56.643278562,2.556
56.644078562,2.556
56.644878562,2.556
56.645678562,2.556
56.646478562,2.556
56.647278562,2.556
56.648078562,2.556
56.648878562,2.551
56.649678562,2.551
56.650478562,2.556
56.651278562,2.556
56.652078562,2.556
56.652878562,2.556
56.653678562,2.556
56.654478562,2.551
56.655278562,2.556
56.656078562,2.556
56.656878562,2.556
56.657678562,2.551
56.658478562,2.551
56.659278562,2.556
56.660078562,2.551
56.660878562,2.556
56.661678562,2.556
56.662478562,2.556
56.663278562,2.551
56.664078562,2.556
56.664878562,2.551
56.665678562,2.556
56.666478562,2.546
56.667278562,2.556
56.668078562,2.551
56.668878562,2.556
56.669678562,2.556
56.670478562,2.551
56.671278562,2.556
56.672078562,2.556
56.672878562,2.551
56.673678562,2.551
56.674478562,2.556
56.675278562,2.551
56.676078562,2.551
56.676878562,2.551
56.677678562,2.551
56.678478562,2.556
56.679278562,2.556
56.680078562,2.551
56.680878562,2.556
56.681678562,2.556
56.682478562,2.551
56.683278562,2.556
56.684078562,2.556
56.684878562,2.556
56.685678562,2.556
56.686478562,2.556
56.687278562,2.551
56.688078562,2.551
56.688878562,2.551
56.689678562,2.556
56.690478562,2.551
56.691278562,2.556
56.692078562,2.556
56.692878562,2.556
56.693678562,2.556
56.694478562,2.551
56.695278562,2.551
56.696078562,2.551
56.696878562,2.551
56.697678562,2.556
56.698478562,2.556
56.699278562,2.551
56.700078562,2.556
56.700878562,2.556
56.701678562,2.551
56.702478562,2.556
56.703278562,2.556
56.704078562,2.556
56.704878562,2.556
56.705678562,2.551
56.706478562,2.556
56.707278562,2.556
56.708078562,2.556
56.708878562,2.556
56.709678562,2.556
56.710478562,2.556
56.711278562,2.556
56.712078562,2.556
56.712878562,2.556
56.713678562,2.556
56.714478562,2.556
56.715278562,2.551
56.716078562,2.556
56.716878562,2.551
56.717678562,2.556
56.718478562,2.556
56.719278562,2.556
56.720078562,2.551
56.720878562,2.556
56.721678562,2.556
56.722478562,2.556
56.723278562,2.556
56.724078562,2.556
56.724878562,2.556
56.725678562,2.556
56.726478562,2.556
56.727278562,2.556
56.728078562,2.556
56.728878562,2.556
56.729678562,2.556
56.730478562,2.562
56.731278562,2.556
56.732078562,2.556
56.732878562,2.556
56.733678562,2.556
56.734478562,2.551
56.735278562,2.556
56.736078562,2.551
56.736878562,2.556
56.737678562,2.556
56.738478562,2.556
56.739278562,2.551
56.740078562,2.551
56.740878562,2.556
56.741678562,2.556
56.742478562,2.556
56.743278562,2.551
56.744078562,2.556
56.744878562,2.556
56.745678562,2.556
56.746478562,2.556
56.747278562,2.551
56.748078562,2.556
56.748878562,2.556
56.749678562,2.551
56.750478562,2.556
56.751278562,2.551
56.752078562,2.556
56.752878562,2.556
56.753678562,2.556
56.754478562,2.556
56.755278562,2.556
56.756078562,2.556
56.756878562,2.556
56.757678562,2.556
56.758478562,2.556
56.759278562,2.551
56.760078562,2.556
56.760878562,2.556
56.761678562,2.556
56.762478562,2.562
56.763278562,2.556
56.764078562,2.551
56.764878562,2.556
56.765678562,2.556
56.766478562,2.551
56.767278562,2.556
56.768078562,2.556
56.768878562,2.556
56.769678562,2.551
56.770478562,2.551
56.771278562,2.556
56.772078562,2.551
56.772878562,2.556
56.773678562,2.551
56.774478562,2.556
56.775278562,2.551
56.776078562,2.556
56.776878562,2.556
56.777678562,2.556
56.778478562,2.556
56.779278562,2.556
56.780078562,2.556
56.780878562,2.556
56.781678562,2.556
56.782478562,2.556
56.783278562,2.556
56.784078562,2.556
56.784878562,2.556
56.785678562,2.541
56.786478562,2.551
56.787278562,2.556
56.788078562,2.556
56.788878562,2.556
56.789678562,2.556
56.790478562,2.556
56.791278562,2.556
56.792078562,2.556
56.792878562,2.556
56.793678562,2.556
56.794478562,2.556
56.795278562,2.556
56.796078562,2.556
56.796878562,2.551
56.797678562,2.556
56.798478562,2.551
56.799278562,2.556
56.800078562,2.551
56.800878562,2.556
56.801678562,2.556
56.802478562,2.556
56.803278562,2.556
56.804078562,2.556
56.804878562,2.556
56.805678562,2.556
56.806478562,2.556
56.807278562,2.556
56.808078562,2.556
56.808878562,2.556
56.809678562,2.551
56.810478562,2.556
56.811278562,2.551
56.812078562,2.556
56.812878562,2.556
56.813678562,2.556
56.814478562,2.556
56.815278562,2.562
56.816078562,2.556
56.816878562,2.556
56.817678562,2.551
56.818478562,2.556
56.819278562,2.562
56.820078562,2.562
56.820878562,2.556
56.821678562,2.551
56.822478562,2.562
56.823278562,2.556
56.824078562,2.556
56.824878562,2.556
56.825678562,2.556
56.826478562,2.556
56.827278562,2.556
56.828078562,2.556
56.828878562,2.556
56.829678562,2.556
56.830478562,2.556
56.831278562,2.556
56.832078562,2.556
56.832878562,2.556
56.833678562,2.556
56.834478562,2.556
56.835278562,2.556
56.836078562,2.556
56.836878562,2.556
56.837678562,2.556
56.838478562,2.556
56.839278562,2.556
56.840078562,2.556
56.840878562,2.556
56.841678562,2.556
56.842478562,2.556
56.843278562,2.556
56.844078562,2.556
56.844878562,2.556
56.845678562,2.551
56.846478562,2.556
56.847278562,2.556
56.848078562,2.556
56.848878562,2.556
56.849678562,2.556
56.850478562,2.562
56.851278562,2.551
56.852078562,2.556
56.852878562,2.556
56.853678562,2.556
56.854478562,2.556
56.855278562,2.556
56.856078562,2.556
56.856878562,2.556
56.857678562,2.551
56.858478562,2.556
56.859278562,2.556
56.860078562,2.556
56.860878562,2.556
56.861678562,2.556
56.862478562,2.562
56.863278562,2.556
56.864078562,2.551
56.864878562,2.556
56.865678562,2.556
56.866478562,2.556
56.867278562,2.556
56.868078562,2.556
56.868878562,2.551
56.869678562,2.556
56.870478562,2.556
56.871278562,2.556
56.872078562,2.556
56.872878562,2.556
56.873678562,2.556
56.874478562,2.556
56.875278562,2.556
56.876078562,2.556
56.876878562,2.556
56.877678562,2.551
56.878478562,2.551
56.879278562,2.556
56.880078562,2.556
56.880878562,2.556
56.881678562,2.556
56.882478562,2.556
56.883278562,2.556
56.884078562,2.556
56.884878562,2.556
56.885678562,2.556
56.886478562,2.556
56.887278562,2.556
56.888078562,2.556
56.888878562,2.551
56.889678562,2.556
56.890478562,2.551
56.891278562,2.556
56.892078562,2.556
56.892878562,2.556
56.893678562,2.556
56.894478562,2.556
56.895278562,2.551
56.896078562,2.556
56.896878562,2.556
56.897678562,2.556
56.898478562,2.546
56.899278562,2.556
56.900078562,2.556
56.900878562,2.556
56.901678562,2.556
56.902478562,2.556
56.903278562,2.556
56.904078562,2.556
56.904878562,2.556
56.905678562,2.556
56.906478562,2.556
56.907278562,2.556
56.908078562,2.556
56.908878562,2.556
56.909678562,2.551
56.910478562,2.556
56.911278562,2.556
56.912078562,2.556
56.912878562,2.551
56.913678562,2.556
56.914478562,2.556
56.915278562,2.556
56.916078562,2.556
56.916878562,2.556
56.917678562,2.556
56.918478562,2.556
56.919278562,2.556
56.920078562,2.556
56.920878562,2.556
56.921678562,2.556
56.922478562,2.556
56.923278562,2.556
56.924078562,2.556
56.924878562,2.556
56.925678562,2.562
56.926478562,2.562
56.927278562,2.556
56.928078562,2.551
56.928878562,2.556
56.929678562,2.556
56.930478562,2.556
56.931278562,2.556
56.932078562,2.556
56.932878562,2.556
56.933678562,2.556
56.934478562,2.556
56.935278562,2.556
56.936078562,2.556
56.936878562,2.556
56.937678562,2.556
56.938478562,2.556
56.939278562,2.556
56.940078562,2.556
56.940878562,2.556
56.941678562,2.556
56.942478562,2.551
56.943278562,2.562
56.944078562,2.556
56.944878562,2.556
56.945678562,2.556
56.946478562,2.556
56.947278562,2.556
56.948078562,2.556
56.948878562,2.556
56.949678562,2.556
56.950478562,2.556
56.951278562,2.556
56.952078562,2.556
56.952878562,2.556
56.953678562,2.556
56.954478562,2.556
56.955278562,2.556
56.956078562,2.562
56.956878562,2.556
56.957678562,2.556
56.958478562,2.556
56.959278562,2.556
56.960078562,2.556
56.960878562,2.551
56.961678562,2.556
56.962478562,2.556
56.963278562,2.556
56.964078562,2.556
56.964878562,2.556
56.965678562,2.556
56.966478562,2.556
56.967278562,2.556
56.968078562,2.556
56.968878562,2.556
56.969678562,2.562
56.970478562,2.562
56.971278562,2.556
56.972078562,2.551
56.972878562,2.556
56.973678562,2.556
56.974478562,2.556
56.975278562,2.556
56.976078562,2.556
56.976878562,2.556
56.977678562,2.556
56.978478562,2.556
56.979278562,2.556
56.980078562,2.562
56.980878562,2.562
56.981678562,2.556
56.982478562,2.556
56.983278562,2.556
56.984078562,2.556
56.984878562,2.562
56.985678562,2.556
56.986478562,2.556
56.987278562,2.551
56.988078562,2.556
56.988878562,2.556
56.989678562,2.556
56.990478562,2.556
56.991278562,2.556
56.992078562,2.556
56.992878562,2.556
56.993678562,2.556
56.994478562,2.556
56.995278562,2.556
56.996078562,2.556
56.996878562,2.556
56.997678562,2.556
56.998478562,2.556
56.999278562,2.551
57.000078562,2.556
57.000878562,2.556
57.001678562,2.562
57.002478562,2.562
57.003278562,2.556
57.004078562,2.556
57.004878562,2.556
57.005678562,2.556
57.006478562,2.556
57.007278562,2.556
57.008078562,2.556
57.008878562,2.556
57.009678562,2.562
57.010478562,2.556
57.011278562,2.562
57.012078562,2.551
57.012878562,2.556
57.013678562,2.556
57.014478562,2.556
57.015278562,2.556
57.016078562,2.556
57.016878562,2.556
57.017678562,2.556
57.018478562,2.556
57.019278562,2.556
57.020078562,2.556
57.020878562,2.556
57.021678562,2.556
57.022478562,2.556
57.023278562,2.556
57.024078562,2.562
57.024878562,2.562
57.025678562,2.556
57.026478562,2.556
57.027278562,2.556
57.028078562,2.556
57.028878562,2.556
57.029678562,2.556
57.030478562,2.556
57.031278562,2.551
57.032078562,2.556
57.032878562,2.562
57.033678562,2.556
57.034478562,2.551
57.035278562,2.556
57.036078562,2.556
57.036878562,2.556
57.037678562,2.556
57.038478562,2.556
57.039278562,2.556
57.040078562,2.556
57.040878562,2.562
57.041678562,2.556
57.042478562,2.556
57.043278562,2.562
57.044078562,2.556
57.044878562,2.556
57.045678562,2.556
57.046478562,2.556
57.047278562,2.556
57.048078562,2.556
57.048878562,2.556
57.049678562,2.556
57.050478562,2.562
57.051278562,2.551
57.052078562,2.556
57.052878562,2.556
57.053678562,2.556
57.054478562,2.556
57.055278562,2.562
57.056078562,2.556
57.056878562,2.556
57.057678562,2.556
57.058478562,2.556
